PhraseNo,Phrase,IsHateSpeech
1,මේ බැල්ලි කොටින්ගේ ගු කනකොට අපහසුවක් දැනුනෙ නැද්ද දන් නැහැ . ඔකිට මිනිහා මැරුනම දැනුන දුකට වඩා දහස් ගුනයක දුකක් දැනෙනවා ඉස්සරහට උපසම්පදාව තියන භික්සුවක් හිරේ යැවුවට ඔකි වැඩියෙන්ම ආදරේ කෙනෙක් ඔකිට නැති වෙනවා වැඩි කල් නොගිහින්,YES
2,මන් ඊයේ මුස්ලිම් ඩෑල් එකක් එක්ක සෙල්ෆියක් ගත්තා සහජීවනේ රැකගෙන ඉදිරියට යන්න ඌ ඒක තාම දාලා නෑ...පරයා,YES
3,සංහිදියාවට අවුලක් වෙයි ද,NO
4,.කටින් පුරසාරම් දොඩන අපි සිංහලයො විදියට ලැජ්ජා විය යුතුයි,YES
5,මචන් ඔය මගුල නවත්තලා කොන්දක් තියෙනවානම් පුලුවන්නම් කරලා පෙන්නපන් ඔය දෙසපාලනය කරන අයගෙන් මෙ රටට මොකක්ද වෙලාතියෙන්නෙ කියලා අන්න එදාට උබ නියම කොල්ලෙක්.පුලුවන්නම් කරලා පෙන්නනවාද .,YES
6,"හැබැයි ඒ මේ ආණ්ඩුවේ විතරක් නෙවෙයි , රට හූරාගෙන තමන්ගෙ බූදලය කියල හිතාගෙන , රට උගස් තියල සල්ලි නයට අරගෙන තමතමන්ගෙ පරම්පරාවෙ එවුන්ටයි හිතවත් එවුන්ටයි බෙදාගෙන කන සියලුම දේශපාලකයන් දුටු දුටු තැන මරලා දාන දිනය වැඩි ඈතක නෑ",YES
7,ලංකාව මොකක්ද.. මෙිකෙ ඉන්නෙ වාහනයක් ගත්තම අලි ඔලුවෙන් ඉන්න පාරෙ යන වෙන එකෙක් ගැන හිතන්නැති නිරැවත් පිංපියො වගෙ එවුන් ටිකක් නෙ.,YES
8,Menna ratawal menna minissu. ape ratawal wala inna jathin thunema gothrikayo tika manussayo karala inna wenawa.,YES
9,උඹ ලෝකයක් ඉස්සරහ හදාගත්ත නම්බුව ලංකාවේ කාලකණ්ණි එක විනාඩියේන් නැති කරයි..... බන්... ඒ හන්ද දේශපාලනය කරන්ට එන්ට එපා මචංංංංං... ගුඩ්ලක්...,YES
10,පල්ලියකට ගලක් වැදුනත් පරසක්වල ගහන මූ පන්සල් බිමට සමතලා කරද්දී සද්ද නෑ.මූට කොහොමත් ඡන්දෙ නම් දෙන්නෙ නෑ.,YES
11,පංසල් විනාශ කරද්දී ඇරෙන්නේ නැති සංගාගේ කට පල්ලියට ගල් ගහද්දි ඇරුණා .එහෙම නායකත්වයක් සිංහල රට ජාතිය හදයිද,YES
12,paduway hitahan beri weda nokaran bat eka gaththada bole elluwada oka karagena inna oyala desapalanayata atha daruwan therum ganna nikan thiyena prrsiddath nethi karanna epa,YES
13,muth kata arinne anik unta witharai jathiyata agamata sadda na endiyawata koti ganan denawa ahinsakayant ape rate unta mukuth na,YES
14,songs kanna epa buruwo kochchara lassana sindu kanna epa ubalata song karanna barinam nikan edapan thiyana ewa kanna epa,YES
15,"Muth nanna yanne.kridakayanta,ground walata wena asadaranakam walata wachanayak eliyata danne nathi aka rata hadanna yanawa.Mahela karanam api akenma set.",YES
